country,year,iso_code,population,renewables_share_energy,fossil_share_energy,clean_share_elec,fossil_share_elec,transition_gap,carbon_intensity_elec,is_focus_country
Ireland,2014,IRL,4658236.0,10.937682151794434,89.06231689453125,24.78665542602539,75.21334075927734,-50.42668533325195,447.6300048828125,True
Greece,2014,GRC,10893169.0,10.74549388885498,89.25450897216797,24.546554565429688,75.45344543457031,-50.906890869140625,667.8800048828125,False
Pakistan,2014,PAK,214264649.0,10.733071327209473,87.74471282958984,37.07719373703003,62.92280578613281,-25.845612049102783,432.7699890136719,False
Argentina,2014,ARG,43024071.0,10.396154403686523,88.18254852294922,28.908619880676273,71.09138488769531,-42.18276500701904,424.1400146484375,False
Slovakia,2014,SVK,5415238.0,10.175565719604492,67.83872985839844,80.1326961517334,19.867305755615234,60.265390396118164,172.8699951171875,False
France,2014,FRA,64692495.0,9.884686470031738,49.86149978637695,93.67837333679199,6.321625709533691,87.3567476272583,52.220001220703125,False
China,2014,CHN,1387951970.0,9.689675331115724,89.32818603515625,24.548490047454838,75.45150756835938,-50.90301752090454,693.8499755859375,True
Bulgaria,2014,BGR,7223450.0,9.63359546661377,71.09288787841797,49.57374572753906,50.4262580871582,-0.8525123596191406,487.0,False
Turkey,2014,TUR,78036154.0,9.500808715820312,90.49919128417967,20.88509559631348,79.11490631103516,-58.22981071472168,567.260009765625,False
United Kingdom,2014,GBR,64865914.0,8.505534172058105,84.26520538330078,37.93776893615723,62.06223678588867,-24.124467849731445,462.8800048828125,True
Lithuania,2014,LTU,2933171.0,7.885272979736328,92.1147232055664,40.9214096069336,59.078590393066406,-18.157180786132805,284.54998779296875,False
United States,2014,USA,323115377.0,7.0149126052856445,84.73380279541016,32.81242084503174,67.18758392333984,-34.375163078308105,529.4099731445312,True
India,2014,IND,1312277184.0,6.828800201416016,92.01297760009766,18.52655053138733,81.47344207763672,-62.94689154624939,743.219970703125,True
Japan,2014,JPN,127486601.0,6.604490280151367,93.3955078125,12.599743843078612,87.40026092529297,-74.80051708221436,591.530029296875,False
Mexico,2014,MEX,119784265.0,6.426185131072998,92.46739959716795,20.874956130981445,79.12504577636719,-58.25008964538574,525.5999755859375,False
Czechia,2014,CZE,10517223.0,6.231339454650879,77.59912872314453,46.48152446746826,53.51847076416016,-7.036946296691902,530.8300170898438,False
Belgium,2014,BEL,11210113.0,5.937734127044678,80.81598663330078,64.4803409576416,35.5196647644043,28.960676193237305,189.88999938964844,False
Poland,2014,POL,38265113.0,5.922241687774658,94.0777587890625,12.5355224609375,87.4644775390625,-74.928955078125,844.0800170898438,False
Australia,2014,AUS,23595599.0,5.662723541259766,94.3372802734375,13.22834587097168,86.77165222167969,-73.54330635070801,734.1799926757812,False
Estonia,2014,EST,1314457.0,5.622077941894531,94.37792205810548,11.164658546447754,88.83534240722656,-77.67068386077881,595.97998046875,False
Russia,2014,RUS,144925639.0,5.531414985656738,88.7332763671875,33.355573654174805,66.6444320678711,-33.28885841369629,449.2900085449219,False
Hungary,2014,HUN,9862843.0,4.8198676109313965,78.38584899902344,64.00136184692383,35.99863815307617,28.002723693847656,300.1000061035156,False
Indonesia,2014,IDN,258877395.0,4.707625865936279,95.29237365722656,14.485981941223145,85.51402282714844,-71.0280408859253,691.5900268554688,False
Thailand,2014,THA,70216362.0,4.23954439163208,95.7604522705078,8.177947044372559,91.82205963134766,-83.6441125869751,601.2899780273438,False
Morocco,2014,MAR,34204784.0,4.186784744262695,95.81321716308594,14.102563858032228,85.8974380493164,-71.79487419128418,651.3499755859375,False
